-0.3828,0.4383,-0.0065,0.7702
-0.3299,0.3684,-0.0121,0.8307
-0.2206,0.2282,-0.0216,0.9507
-0.3065,0.3041,-0.0200,1.0017
-0.3320,0.3113,-0.0158,1.0681
-0.2508,0.1925,-0.0195,1.0642
-0.1535,0.0912,-0.0192,1.0207
-0.0758,0.0120,-0.0163,0.9573
-0.0216,-0.0647,-0.0080,0.8235
0.0439,-0.1301,-0.0044,0.6611
0.1084,-0.1826,-0.0019,0.4680
0.1522,-0.2126,-0.0026,0.2619
0.1825,-0.2348,-0.0057,0.0628
0.2033,-0.2411,-0.0090,-0.0597
0.1985,-0.2401,-0.0096,-0.1722
0.1709,-0.2310,-0.0088,-0.2318
0.1379,-0.1746,-0.0058,-0.2537
0.1564,-0.0711,-0.0005,-0.2172
0.2201,-0.0571,-0.0007,-0.0451
0.2713,-0.0894,-0.0128,0.1529
0.2913,-0.0984,-0.0282,0.2752
0.2850,-0.0918,-0.0316,0.2806
0.2604,-0.0897,-0.0272,0.2402
0.2967,-0.2857,-0.0213,0.2182
0.1625,-0.2415,0.0253,0.2355
0.0852,-0.2095,0.0444,0.2881
0.0918,-0.2476,0.0478,0.3445
0.0901,-0.2595,0.0470,0.4073
0.0587,-0.2157,0.0412,0.4971
0.0309,-0.1706,0.0338,0.6072
0.0183,-0.1286,0.0273,0.6965
0.0106,-0.0843,0.0209,0.7812
-0.0029,-0.0445,0.0170,0.8593
-0.0168,-0.0028,0.0131,0.9204
-0.0288,0.0454,0.0073,0.9571
-0.0382,0.1038,-0.0004,0.9724
-0.0458,0.1590,-0.0057,0.9530
-0.0534,0.1803,-0.0114,0.8853
-0.0499,0.1693,-0.0137,0.8211
-0.0486,0.1508,-0.0121,0.7747
-0.0498,0.1139,-0.0088,0.7316
-0.0525,0.1003,-0.0035,0.6603
-0.0575,0.0909,0.0024,0.5661
-0.0546,0.0870,0.0049,0.4707
-0.0497,0.0858,0.0065,0.3799
-0.0451,0.0834,0.0081,0.2604
-0.0438,0.0728,0.0062,0.1506
-0.0460,0.0696,0.0030,0.0888
-0.0584,0.1112,-0.0041,0.0115
-0.0844,0.1620,-0.0157,0.0366
-0.0610,0.1418,-0.0142,0.1267
0.0046,0.0938,-0.0018,0.2688
0.0041,0.1277,-0.0063,0.2754
-0.0715,0.1606,-0.0095,0.1115
0.0699,0.2001,-0.0129,-0.1107
0.0445,0.1928,-0.0022,-0.1321
-0.0201,0.2042,0.0054,-0.1042
-0.0299,0.1946,0.0115,-0.0581
-0.0433,0.1700,0.0164,0.0209
-0.0817,0.1391,0.0133,0.1513
-0.1336,0.0951,0.0050,0.3859
-0.1532,0.0506,-0.0039,0.5445
-0.1607,0.0248,-0.0089,0.6387
-0.1696,0.0081,-0.0107,0.7228
-0.1704,-0.0093,-0.0097,0.7800
-0.1628,-0.0292,-0.0081,0.8112
-0.1490,-0.0433,-0.0065,0.8261
-0.1287,-0.0561,-0.0052,0.8239
-0.1038,-0.0704,-0.0058,0.8134
-0.0814,-0.0848,-0.0071,0.7878
-0.0548,-0.0980,-0.0076,0.7307
-0.0185,-0.1070,-0.0054,0.6337
0.0144,-0.1048,-0.0028,0.5380
0.0315,-0.0908,-0.0004,0.4747
0.0493,-0.0774,0.0007,0.4260
0.0700,-0.0639,-0.0001,0.3694
0.0856,-0.0517,-0.0021,0.3308
0.0927,-0.0425,-0.0055,0.3182
0.0994,-0.0349,-0.0093,0.3000
0.1098,0.0032,-0.0140,0.2844
0.1190,0.0222,-0.0171,0.2873
0.1664,-0.0102,-0.0105,0.2946
0.2436,-0.0464,-0.0042,0.2845
0.2299,-0.0442,0.0004,0.1895
0.1798,0.0187,0.0069,0.0049
0.1070,-0.0045,-0.0162,-0.0340
0.0889,0.0032,-0.0087,-0.0707
0.0601,0.0143,-0.0014,-0.0742
0.0027,0.0055,0.0090,-0.0211
-0.0364,-0.0153,0.0154,0.0793
-0.0655,-0.0385,0.0115,0.2054
-0.0989,-0.0507,0.0046,0.4418
-0.1128,-0.0570,-0.0001,0.5782
-0.1158,-0.0648,-0.0026,0.6662
-0.1180,-0.0718,-0.0038,0.7397
-0.1163,-0.0735,-0.0040,0.7958
-0.1073,-0.0726,-0.0035,0.8284
-0.0946,-0.0711,-0.0028,0.8369
-0.0826,-0.0660,-0.0042,0.8283
-0.0662,-0.0591,-0.0052,0.8095
-0.0474,-0.0510,-0.0048,0.7764
-0.0249,-0.0424,-0.0021,0.7112
-0.0093,-0.0273,0.0006,0.6333
0.0034,-0.0083,0.0022,0.5583
0.0113,0.0068,0.0038,0.4916
0.0239,0.0172,0.0051,0.4244
0.0389,0.0260,0.0055,0.3574
0.0478,0.0326,0.0049,0.2893
0.0592,0.0378,0.0017,0.2511
0.0689,0.0346,-0.0030,0.2221
0.0781,0.0341,-0.0074,0.1952
0.0809,0.0477,-0.0122,0.1781
0.1023,0.0412,-0.0095,0.1647
0.1644,0.0334,0.0006,0.1417
0.1616,0.0390,0.0058,0.0796
0.1289,0.0683,0.0080,-0.0311
0.1492,-0.0270,-0.0175,-0.0864
0.1161,0.0358,-0.0108,-0.1029
0.0781,0.0435,-0.0027,-0.0744
0.0274,0.0172,0.0092,-0.0275
-0.0076,-0.0074,0.0140,0.0609
-0.0432,-0.0189,0.0100,0.2042
-0.0837,-0.0286,0.0041,0.4287
-0.0986,-0.0368,0.0008,0.5633
-0.1040,-0.0429,-0.0018,0.6574
-0.1090,-0.0456,-0.0028,0.7307
-0.1098,-0.0452,-0.0026,0.7839
-0.1042,-0.0432,-0.0024,0.8153
-0.0953,-0.0397,-0.0022,0.8253
-0.0866,-0.0333,-0.0034,0.8151
-0.0715,-0.0274,-0.0032,0.7925
-0.0571,-0.0199,-0.0022,0.7615
-0.0397,-0.0177,0.0005,0.6999
-0.0230,-0.0158,0.0026,0.6227
-0.0130,-0.0068,0.0026,0.5506
0.0007,0.0041,0.0035,0.4845
0.0112,0.0093,0.0047,0.4271
0.0191,0.0121,0.0056,0.3776
0.0252,0.0177,0.0054,0.3234
0.0320,0.0247,0.0031,0.2929
0.0466,0.0192,-0.0023,0.2778
0.0565,0.0229,-0.0077,0.2719
0.0561,0.0423,-0.0126,0.2540
0.0815,0.0421,-0.0097,0.2427
0.1453,0.0320,0.0024,0.1894
0.1490,0.0376,0.0067,0.1139
0.1244,0.0688,0.0080,0.0001
0.1247,0.0158,-0.0197,-0.0314
0.0898,0.0521,-0.0099,-0.0537
0.0541,0.0532,-0.0023,-0.0324
0.0027,0.0323,0.0083,0.0104
-0.0271,0.0167,0.0151,0.0879
-0.0614,0.0014,0.0113,0.2111
-0.1039,-0.0120,0.0036,0.4353
-0.1168,-0.0225,-0.0007,0.5659
-0.1208,-0.0304,-0.0032,0.6526
-0.1253,-0.0361,-0.0042,0.7287
-0.1261,-0.0399,-0.0041,0.7839
-0.1196,-0.0414,-0.0036,0.8148
-0.1079,-0.0395,-0.0025,0.8229
-0.0951,-0.0354,-0.0026,0.8115
-0.0791,-0.0337,-0.0026,0.7923
-0.0624,-0.0310,-0.0016,0.7560
-0.0412,-0.0282,0.0010,0.6863
-0.0258,-0.0247,0.0025,0.6093
-0.0095,-0.0177,0.0033,0.5364
0.0058,-0.0082,0.0046,0.4755
0.0172,-0.0025,0.0058,0.4185
0.0256,0.0006,0.0059,0.3681
0.0339,0.0064,0.0053,0.3122
0.0470,0.0069,0.0017,0.2874
0.0624,0.0027,-0.0036,0.2663
0.0696,0.0046,-0.0080,0.2468
0.0719,0.0245,-0.0121,0.2291
0.1025,0.0214,-0.0080,0.2108
0.1636,0.0184,0.0024,0.1674
0.1657,0.0223,0.0061,0.1054
0.1356,0.0580,0.0086,-0.0118
0.1357,0.0021,-0.0202,-0.0764
0.0975,0.0398,-0.0111,-0.0927
0.0600,0.0421,-0.0029,-0.0729
0.0075,0.0212,0.0080,-0.0269
-0.0247,0.0044,0.0151,0.0599
-0.0608,-0.0103,0.0113,0.1933
-0.1040,-0.0239,0.0038,0.4298
-0.1169,-0.0327,-0.0001,0.5646
-0.1208,-0.0388,-0.0027,0.6553
-0.1253,-0.0439,-0.0038,0.7348
-0.1257,-0.0464,-0.0036,0.7902
-0.1189,-0.0470,-0.0033,0.8217
-0.1076,-0.0456,-0.0027,0.8334
-0.0949,-0.0405,-0.0029,0.8243
-0.0780,-0.0374,-0.0032,0.8047
-0.0602,-0.0328,-0.0025,0.7729
-0.0396,-0.0294,-0.0001,0.7088
-0.0227,-0.0271,0.0022,0.6296
-0.0051,-0.0174,0.0028,0.5538
0.0084,-0.0060,0.0042,0.4897
0.0188,0.0004,0.0055,0.4324
0.0295,0.0047,0.0060,0.3826
